id,created_at,updated_at,is_active,icon,parent_id,has_options,type,title,description
01KHPX62GMQ4QKRS,2024-03-07 20:14:12.20988+00,,true,,01KHPX62GKETSNBZ,,standard,"{""az"":""İşıqlar və İşıqlandırma"",""en"":"""",""ru"":""""}","{""az"":""İşıqlar və İşıqlandırma"",""en"":"""",""ru"":""""}"
01KHPX62GMQRHJGN,2024-03-18 20:33:40.018877+00,,true,,01KHPX62GKR7B1QW,,standard,"{""az"":""Muncuq və zərgərlik istehsalı"",""en"":"""",""ru"":""""}","{""az"":""\nMuncuq və zərgərlik istehsalı\n\n\n\n"",""en"":"""",""ru"":""""}"
01KHPX62GMQWJ2C6,2024-03-14 21:01:10.424761+00,,true,,01KHPX62GKB35ZDJ,,standard,"{""az"":""Burun və qulaq trimmer"",""en"":"""",""ru"":""""}","{""az"":""Burun və qulaq trimmer\n\n\n\n"",""en"":"""",""ru"":""""}"
01KHPX62GMQX665H,2024-03-12 19:33:54.441043+00,,true,,01KHPX62GK3SDAX9,,standard,"{""az"":""Tarix və Bioqrafiya"",""en"":"""",""ru"":""""}","{""az"":""Tarix və Bioqrafiya\n\n"",""en"":"""",""ru"":""""}"
01KHPX62GMQY1BE9,2024-03-14 20:57:03.479224+00,,true,,01KHPX62GMCFTEV8,,standard,"{""az"":""Üz"",""en"":"""",""ru"":""""}","{""az"":""Üz\n\n\n\n\n\n"",""en"":"""",""ru"":""""}"
01KHPX62GMQYMFFA,2024-03-12 20:02:06.433168+00,,true,,01KHPX62GMJ7R3MJ,,standard,"{""az"":""Abituriyent hazırlığı kursu"",""en"":"""",""ru"":""""}","{""az"":""Abituriyent hazırlığı kursu\n\n\n\n"",""en"":"""",""ru"":""""}"
01KHPX62GMQYQPKZ,2024-03-16 20:35:47.892386+00,,true,,01KHPX62GMS14PAB,,standard,"{""az"":""Spa mərkəzləri"",""en"":"""",""ru"":""""}","{""az"":""Spa mərkəzləri\n\n"",""en"":"""",""ru"":""""}"
01KHPX62GMR2DX86,2024-03-08 19:07:25.664824+00,,true,,01KHPX62GK8YK090,,standard,"{""az"":""Biletlər"",""en"":"""",""ru"":""""}","{""az"":""Biletlər"",""en"":"""",""ru"":""""}"
01KHPX62GMR46JW4,2024-03-14 06:10:25.338194+00,,true,,01KHPX62GMB10HKC,,standard,"{""az"":""Heyvanlar"",""en"":"""",""ru"":""""}","{""az"":""Heyvanlar\n\n\n"",""en"":"""",""ru"":""""}"
01KHPX62GMRBEACV,2024-03-12 20:01:39.924117+00,,true,,01KHPX62GMJ7R3MJ,,standard,"{""az"":""Məktəbəqədər hazırlıq kursu"",""en"":"""",""ru"":""""}","{""az"":""\nMəktəbəqədər hazırlıq kursu\n\n\n"",""en"":"""",""ru"":""""}"
01KHPX62GMRRJHB9,2024-03-12 20:07:47.464848+00,,true,,01KHPX62GM1HVCPH,,standard,"{""az"":""Hər şeyi bilmək istəyirəm. Ensiklopediyalar"",""en"":"""",""ru"":""""}","{""az"":""Hər şeyi bilmək istəyirəm. Ensiklopediyalar\n\n"",""en"":"""",""ru"":""""}"
01KHPX62GMS14PAB,2024-03-08 18:46:38.802329+00,,true,,01KHPX62GKNGXP6J,,standard,"{""az"":""Klinika və Sağlamlıq mərkəzləri"",""en"":"""",""ru"":""""}","{""az"":""Klinika və Sağlamlıq mərkəzləri"",""en"":"""",""ru"":""""}"
01KHPX62GMS33H75,2024-03-18 20:31:23.225033+00,,true,,01KHPX62GKR7B1QW,,standard,"{""az"":""İncə zərgərlik"",""en"":"""",""ru"":""""}","{""az"":""İncə zərgərlik\n"",""en"":"""",""ru"":""""}"
01KHPX62GMS84QNN,2024-03-18 20:25:00.115564+00,,true,,01KHPX62GK89CT0T,,standard,"{""az"":""Saat aksesuarları"",""en"":"""",""ru"":""""}","{""az"":""Saat aksesuarları\n\n"",""en"":"""",""ru"":""""}"
